Element,Z,Vl,Pc,Pc18,Pr,Uo,Eg,Ip1,Ip2,Ea,Homo,Lumo,Ros,Rop,Rod,Ra,Rv,Rc,Plz,M,Mel,Boi,de,Zeff,Fus,Vap,Cap
Dy,66,12,3,3,6,4,1.22,573,1130,-0.5182,,,,,,,,1.92,162.7,162.5,1680,2840,8.54,3.96,11.05,230,0.173
Ho,67,13,3,3,6,3,1.23,581,1140,-0.5182,,,,,,2.3,,1.92,156.3,164.93033,1734,2873,8.79,3.99,11.76,241,0.165
Er,68,14,3,3,6,2,1.24,589.3,1150,-0.5182,,,,,,,,1.89,150.2,167.259,1802,3141,9.066,4.02,17.2,261,0.168
Tm,69,15,3,3,6,1,1.25,596.7,1160,-1.029,,,,,,2.27,,1.9,144.3,168.93422,1818,2223,9.32,4.05,16.8,191,0.16
Yb,70,16,3,3,6,0,1.1,603.4,1174.8,0.02,,,,,,2.26,,1.87,138.9,173.054,1097,1469,6.9,4.07,7.66,128.9,0.155
Lu,71,17,3,3,6,9,1.27,523.5,1340,-0.3401,,,,,,1.6,,1.87,137.2,174.9668,1925,3675,9.841,3.79,18.7,355.9,0.154
Hf,72,18,4,4,6,8,1.3,658.5,1440,0.7772,-2.6937,-0.4781,1.5366,1.7316,0.8951,1.5,0.8951,1.75,109,178.49,2506,4876,13.31,4.3,25.1,661.1,0.144
Ta,73,19,5,5,6,7,1.5,761,1500,0.2096,-3.5963,-0.4436,1.4665,1.6644,0.837,1.38,0.837,1.7,88,180.94788,3290,5731,16.69,4.57,31.4,753.1,0.14
W,74,20,6,6,6,6,2.36,770,1700,-0.4374,-4.4864,-0.3665,1.4074,1.6061,0.7906,1.46,0.7906,1.62,75,183.84,3695,5933,19.25,4.6,35.23,799.1,0.132
Re,75,21,7,7,6,5,1.9,760,1260,-1.0563,-5.3736,-0.267,1.3561,1.5549,0.7516,1.59,0.7516,1.51,65,186.207,3459,5869,21.02,4.57,33.05,707.1,0.137
Os,76,22,8,8,6,4,2.2,840,1600,-1.8446,-6.0059,-0.0685,1.3156,1.5096,0.719,1.28,0.719,1.44,57,190.23,3306,5285,22.59,4.8,29.3,627.6,0.13
Ir,77,23,9,9,6,3,2.2,880,1600,-2.541,-5.6901,0.5069,0.9966,1.4695,0.6939,1.37,0.6939,1.41,51,192.217,2739,4701,22.56,4.91,26.4,563.6,0.131
Pt,78,24,10,10,6,2,2.28,870,1791,-2.2143,-5.312,0.8213,0.9879,1.4721,0.6707,1.28,0.6707,1.36,44,195.084,2041.4,4098,21.45,4.88,19.7,510.5,0.133
Au,79,25,1,11,6,1,2.54,890.1,1980,-2.3142,-5.7531,0.7024,1.2274,1.4369,0.6436,1.44,1.2274,1.36,36.1,196.966569,1337.33,3129,19.3,4.94,12.55,324.4,0.129
Hg,80,26,2,12,6,0,2,1007.1,1810,1.688,-6.808,0.8594,1.1675,1.8734,0.6158,1.49,1.1675,1.32,34.27,200.59,234.32,629.88,13.534,5.26,2.29,56.9,0.14
